"","County","State","Age.AdjustedCANCERcases_per100000","Recent.Trend","Average.Annual.Count"
"1","Abbeville"," South Carolina",444,"stable",153
"2","Acadia Parish"," Louisiana",500.3,"stable",346
"3","Accomack"," Virginia",467.5,"stable",231
"4","Ada"," Idaho",455.3,"falling",1994
"5","Adair"," Iowa",449.5,"stable",51
"6","Adair"," Kentucky",484,"stable",114
"7","Adair"," Missouri",463.7,"stable",118
"8","Adair"," Oklahoma",408,"stable",103
"9","Adams"," Colorado",406,"stable",1682
"10","Adams"," Idaho",349,"falling",26
"11","Adams"," Illinois",460.7,"stable",414
"12","Adams"," Indiana",422.2,"stable",163
"13","Adams"," Iowa",525.1,"rising",30
"14","Adams"," Mississippi",460.7,"stable",193
"15","Adams"," Nebraska",484.6,"stable",185
"16","Adams"," North Dakota",445.5,"stable",18
"17","Adams"," Ohio",497.9,"stable",175
"18","Adams"," Pennsylvania",491.7,"stable",670
"19","Adams"," Washington",352.2,"stable",59
"20","Adams"," Wisconsin",494.3,"stable",184
"21","Addison"," Vermont",413.7,"stable",199
"22","Aiken"," South Carolina",411,"stable",868
"23","Alachua"," Florida",464.6,"stable",1188
"24","Alamance"," North Carolina",490.7,"stable",936
"25","Alameda"," California",392.8,"falling",6703
"26","Alamosa"," Colorado",374.5,"stable",59
"27","Albany"," New York",517.8,"stable",1895
"28","Albany"," Wyoming",378.1,"stable",118
"29","Albemarle"," Virginia",424.5,"stable",540
"30","Alcona"," Michigan",401.2,"stable",90
"31","Alcorn"," Mississippi",434.9,"stable",203
"32","Aleutians West Census Area"," Alaska",403.1,"stable",13
"33","Alexander"," Illinois",533.1,"stable",54
"34","Alexander"," North Carolina",442.3,"stable",220
"35","Alexandria City"," Virginia",337,"stable",489
"36","Alfalfa"," Oklahoma",440.8,"stable",37
"37","Alger"," Michigan",381.6,"stable",58
"38","Allamakee"," Iowa",411.1,"stable",87
"39","Allegan"," Michigan",368.6,"stable",499
"40","Allegany"," Maryland",498.7,"stable",501
"41","Allegany"," New York",513.8,"stable",310
"42","Alleghany"," North Carolina",429.4,"stable",81
"43","Alleghany and Clifton Forge City"," Virginia",469.6,"stable",113
"44","Allegheny"," Pennsylvania",493.5,"stable",7980
"45","Allen"," Indiana",429.8,"stable",1690
"46","Allen"," Kentucky",471.1,"stable",121
"47","Allen"," Ohio",475.5,"stable",606
"48","Allen Parish"," Louisiana",492.1,"stable",141
"49","Allendale"," South Carolina",388.2,"stable",49
"50","Alpena"," Michigan",464.3,"stable",209
"51","Alpine"," California",290.6,"stable",5
"52","Amador"," California",434.9,"falling",276
"53","Amelia"," Virginia",443,"stable",78
"54","Amherst"," Virginia",419.3,"stable",187
"55","Amite"," Mississippi",461.6,"stable",88
"56","Anchorage Borough"," Alaska",429,"falling",1128
"57","Anderson"," Kentucky",538.7,"stable",136
"58","Anderson"," South Carolina",472.3,"stable",1148
"59","Anderson"," Tennessee",469,"stable",485
"60","Anderson"," Texas",444.9,"stable",292
"61","Andrew"," Missouri",424.7,"stable",95
"62","Andrews"," Texas",392.6,"stable",59
"63","Androscoggin"," Maine",474.2,"stable",634
"64","Angelina"," Texas",466.5,"stable",467
"65","Anne Arundel"," Maryland",465.5,"stable",2897
"66","Anson"," North Carolina",438.6,"stable",142
"67","Antelope"," Nebraska",402.5,"stable",40
"68","Antrim"," Michigan",434.5,"stable",166
"69","Apache"," Arizona",272.1,"falling",204
"70","Appanoose"," Iowa",419.7,"stable",81
"71","Appling"," Georgia",416.8,"stable",94
"72","Appomattox"," Virginia",430.7,"stable",91
"73","Aransas"," Texas",438.5,"stable",182
"74","Arapahoe"," Colorado",405.7,"falling",2522
"75","Archer"," Texas",385.3,"stable",49
"76","Archuleta"," Colorado",327.7,"stable",62
"77","Arenac"," Michigan",505.4,"stable",123
"78","Arkansas"," Arkansas",494.1,"stable",121
"79","Arlington"," Virginia",359.4,"stable",707
"80","Armstrong"," Pennsylvania",492.6,"stable",483
"81","Armstrong"," Texas",404.6,"stable",11
"82","Aroostook"," Maine",481.2,"stable",511
"83","Ascension Parish"," Louisiana",470.3,"falling",525
"84","Ashe"," North Carolina",452.9,"stable",186
"85","Ashland"," Ohio",464.2,"stable",314
"86","Ashland"," Wisconsin",497.7,"stable",105
"87","Ashley"," Arkansas",502.5,"rising",143
"88","Ashtabula"," Ohio",449.9,"stable",583
"89","Asotin"," Washington",367.5,"stable",122
"90","Assumption Parish"," Louisiana",486.9,"stable",137
"91","Atascosa"," Texas",363.6,"stable",190
"92","Atchison"," Missouri",399.2,"stable",33
"93","Athens"," Ohio",453.9,"stable",275
"94","Atkinson"," Georgia",432.9,"stable",37
"95","Atlantic"," New Jersey",492.3,"falling",1673
"96","Atoka"," Oklahoma",409.7,"stable",76
"97","Attala"," Mississippi",448.1,"stable",112
"98","Audrain"," Missouri",461.5,"stable",145
"99","Audubon"," Iowa",447.7,"stable",42
"100","Auglaize"," Ohio",449.6,"stable",262
"101","Augusta"," Virginia",477.9,"stable",494
"102","Aurora"," South Dakota",508.4,"stable",19
"103","Austin"," Texas",391.2,"stable",151
"104","Autauga"," Alabama",495.6,"stable",304
"105","Avery"," North Carolina",459.8,"stable",116
"106","Avoyelles Parish"," Louisiana",461.3,"stable",229
"107","Baca"," Colorado",362.8,"stable",20
"108","Bacon"," Georgia",486.5,"stable",62
"109","Bailey"," Texas",396.3,"stable",30
"110","Baker"," Florida",430.9,"stable",128
