,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,County,State
2932,12 Applegate Solar LLC,1.9,40.2003,-74.5761,Solar,2012,SunRay Power LLC,2.41461,2.35,2.43,2.492,2.276,Monmouth,New Jersey
2933,126 Grove Solar LLC,2,42.0761,-71.4227,Solar,2012,126 Grove Solar LLC,NA,NA,NA,2.416,2.251,Norfolk,Massachusetts
2934,1420 Coil Av #C,1.3,33.7943,-118.2414,Solar,2011,Konoike Pacific,1.528,2.149,1.515,1.592,1.66,Los Angeles,California
2935,145 Talmadge Solar,3.8,40.5358,-74.3913,Solar,2011,Avidan Energy Solutions,5.036,4.524,4.802,5.051,4.819,Middlesex,New Jersey
2936,1515 S Caron Road,4.2,41.9084,-89.0466,Gas,2000,Rochelle Municipal Utilities,0.215,0.178,0.271,0.306,0.264,Ogle,Illinois
2937,158th Fighter Wing Solar Farm,1.3,44.4777,-73.1534,Solar,2011,158th Fighter Wing,NA,NA,NA,1.655,1.616,Chittenden,Vermont
2938,180 Raritan Solar,1.9,40.5161,-74.34,Solar,2012,180 Raritan Energy Solutions  LLC,2.741,2.584,2.526,2.659,2.547,Middlesex,New Jersey
2939,191 Peachtree Tower,2.4,33.7583,-84.3869,Oil,1991,Banyan St./GAP 191 Peachtree Owner  LLC,0,0,0,0,0,Fulton,Georgia
2940,201 Sturbridge B,2,42.1091,-72.1712,Solar,2014,SE Solarne2 LLC,NA,2.969,2.979,2.835,2.722,Hampden,Massachusetts
2941,205 Sturbridge A,3,42.1093,-72.1705,Solar,2014,SH Solarne2 LLC,NA,2.969,5.326,5.319,5.041,Hampden,Massachusetts
2942,2081 Terzian Solar Project,1.2,36.67,-119.4158,Solar,2014,Solarenewal LLC,NA,1.918,3.444,2.601,3.016,Fresno,California
2943,2097 Helton Solar Project,1.5,37.3522,-120.5069,Solar,2014,Solarenewal LLC,NA,0.208,3.999,3.798,3.626,Merced,California
2944,2127 Harris Solar Project,1.3,39.2917,-121.6697,Solar,2014,Solarenewal LLC,NA,0.792,2.88,2.712,2.646,Sutter,California
2945,231 Dixon 74 Solar I  LLC,2,35.2441,-81.4304,Solar,2017,Soltage LLC,NA,NA,NA,NA,1.207,Cleveland,North Carolina
2946,24 Applegate Solar LLC,4.9,40.2058,-74.5797,Solar,2014,SunRay Power LLC,NA,5.734,1.742,1.667,5.259,Monmouth,New Jersey
2947,2555 E Olympic Bl,1,34.0269,-118.2242,Solar,2012,Los Angeles Department of Water & Power,1.894,1.341,1.235,1.78,1.35,Los Angeles,California
2948,265 Pleasant Solar NG  LLC,2.2,42.5814,-71.7622,Solar,2014,NuGen Capital Management,NA,0.523,1.479,1.5,1.372,Worcester,Massachusetts
2949,301 Chestnut Solar NG,4.3,42.0552,-72.5218,Solar,2017,301 Chestnut Solar NG  LLC,NA,NA,NA,NA,1.847,Hampden,Massachusetts
2950,350 Clark Solar  NG  LLC,1.8,40.8942,-74.7302,Solar,2011,350 Clark Solar NG  LLC,NA,NA,NA,2.167,1.143,Sussex,New Jersey
2951,4 Applegate Solar LLC,1.8,40.1964,-74.5836,Solar,2012,SunRay Power LLC,2.24037,2.028,2.159,2.265,1.93,Monmouth,New Jersey
2952,433 Purchase Solar NG  LLC,2.5,41.8094,-71.1922,Solar,2012,433 Purchase Solar NG  LLC,NA,NA,NA,4.219,3.662,Bristol,Massachusetts
