,Site.Name,Site.Score,State,City,County,Status,Latitude,Longitude,Proposed.Date,Listing.Date,Construction.Completion.Date,NOID.Date,Deletion.Date
2932,Teledyne Semiconductor,35.35,California,Mountain View,Santa Clara,NPL Site,37.4108,-122.0797,10/15/84,7/22/87,3/31/92,,
2933,"TRW Microwave, Inc. (Building 825)",31.94,California,Sunnyvale,Santa Clara,NPL Site,37.3846,-122.0085,6/24/88,2/21/90,9/17/93,,
2934,Fairchild Semiconductor Corp. (Mountain View Plant),31.94,California,Mountain View,Santa Clara,NPL Site,37.4012,-122.0542,10/15/84,2/11/91,8/24/99,,
2935,Sacramento Army Depot,44.46,California,Sacramento,Sacramento,NPL Site,38.520281,-121.3958,10/15/84,7/22/87,8/28/02,,
2936,Intel Corp. (Mountain View Plant),29.76,California,Mountain View,Santa Clara,NPL Site,37.3962,-122.0566,10/15/84,6/10/86,8/24/99,,
2937,Raytheon Corp.,29.76,California,Mountain View,Santa Clara,NPL Site,37.3975,-122.0533,10/15/84,6/10/86,8/24/99,,
2938,Moffett Naval Air Station,29.49,California,Sunnyvale,Santa Clara,NPL Site,37.411389,-122.0522,4/10/85,7/22/87,,,
2939,"Waste Disposal, Inc.",34.6,California,Santa Fe Springs,Los Angeles,NPL Site,33.95,-118.055,6/10/86,7/22/87,8/12/05,,
2940,Riverbank Army Ammunition Plant,63.94,California,Riverbank,Stanislaus,NPL Site,37.71695,-120.9181,6/24/88,2/21/90,9/30/97,,
2941,Southern California Edison Co. (Visalia Poleyard),48.91,California,Visalia,Tulare,Deleted NPL Site,36.333331,-119.2767,1/22/87,3/31/89,9/25/01,7/27/09,9/25/09
2942,Watkins-Johnson Co. (Stewart Division Plant),28.9,California,Scotts Valley,Santa Cruz,NPL Site,37.051111,-122.029028,1/22/87,8/30/90,9/22/94,,
2943,Fresno Municipal Sanitary Landfill,35.57,California,Fresno,Fresno,NPL Site,36.704169,-119.8261,6/24/88,10/4/89,,,
2944,Barstow Marine Corps Logistics Base,37.93,California,Barstow,San Bernardino,NPL Site,34.878331,-116.9389,7/14/89,11/21/89,,,
